iteration,scenario,policy,initial_theta,final_theta,delta_theta,initial_fitness,final_fitness,delta_fitness,final_initial_preference_value,delta_initial_preference_value,final_exposure,mean_final_platform_value,verdict,plasticity,exposure_cost,selection_strength,platform_inversion
3,no_platform_selection_benchmark,fixed,0.3500728274285519,0.0070151193169877175,-0.34305770811156416,1.9329884140833233,2.9810388543773523,1.048050440294029,-4.808813319286562,-4.136116674908171,0.0,0.15708800241720552,benchmark,,,,
3,fixed_high_exposure,fixed,0.3500728274285519,0.9406712128614126,0.5905983854328607,1.9329884140833233,0.6858136065461441,-1.2471748075371791,-1.8586731245313524,-1.1859764801529606,0.8,0.992715429520516,benchmark,,,,
3,myopic_platform_low_cost,platform,0.3500728274285519,0.7947268661950423,0.4446540387664904,1.9329884140833233,0.9140011193255391,-1.0189872947577843,-1.110063633773579,-0.43736698939518726,0.2,0.9880557848832967,candidate,,,,
3,myopic_platform_high_cost,platform,0.3500728274285519,0.47099827405464384,0.12092544662609195,1.9329884140833233,1.6020361873963431,-0.3309522266869802,-0.6781930141140409,-0.005496369735649154,0.05,0.6061241552780132,candidate,,,,
3,platform_with_weak_autonomy_penalty,platform,0.3500728274285519,0.7892704699542773,0.4391976425257254,1.9329884140833233,0.9235222317964924,-1.009466182286831,-1.0956399436913646,-0.4229432993129729,0.2,0.9673621053302845,candidate,,,,
3,platform_with_calibrated_guardrail,platform,0.3500728274285519,0.30506107005099137,-0.045011757377560524,1.9329884140833233,2.050951807090464,0.11796339300714087,-0.6542260033128916,0.018470641065500115,0.05,0.42001757736556045,candidate,,,,
,,,,0.72454932710192,0.3744764996733681,,1.0247965816070175,-0.4565585836200541,,-0.28108471471221996,0.25,,,0.04,0.02,0.6,True
,,,,0.6307757300279818,0.2807029025994299,,1.3371302517618484,-1.1934292657760772,,-0.1367625512690953,0.1,,,0.04,0.02,1.4,False
,,,,0.6316740943167658,0.2816012668882139,,1.6402517938594956,-3.392105789356094,,-0.1377862533459946,0.1,,,0.04,0.02,2.4,False
,,,,0.5479358420397158,0.1978630146111639,,1.2318040153362824,-0.2495511498907892,,-0.05609315370888379,0.15,,,0.04,0.05,0.6,False
,,,,0.4249406833996339,0.07486785597108203,,2.1372471471434262,-0.3933123703944994,,0.013123385372379448,0.05,,,0.04,0.05,1.4,False
