iteration,scenario,benchmark_reproduced,initial_theta,final_theta,delta_theta,initial_fitness,final_fitness,delta_fitness,final_subjective_satisfaction,verdict,persuasion_rate,selection_strength,fitness_utility_inversion
1,I1_reproduce_static_no_transition,True,0.35006946695581853,0.35006957834373337,1.1138791483622512e-07,1.0,1.0,0.0,0.536925556590525,benchmark,,,
1,I1_reproduce_selection_only,True,0.35006946695581853,0.013959480837699469,-0.33610998611811904,1.8794762654666748,2.73404537857365,0.854569113106975,0.9421974431873702,benchmark,,,
1,I1_endogenous_ai_transition,False,0.35006946695581853,0.9581194778167198,0.6080500108609013,1.8794762654666748,0.7942563602783735,-1.0852199051883011,0.8409285363892443,mechanism,,,
,,,,0.15370381207068828,-0.19636565488513025,,1.222876754961689,0.06437996422261039,,,0.0,0.2,False
,,,,0.0274967721744059,-0.32257269478141265,,2.013951683188463,0.4552413540689233,,,0.0,0.6,False
,,,,0.01010768234880064,-0.33996178460701787,,3.2802390520328726,1.1761375854013392,,,0.0,1.0,False
,,,,0.0037484985054982312,-0.3463209684503203,,6.772498243498923,3.4522268026829805,,,0.0,1.6,False
,,,,0.0014008798116230986,-0.3486685871441954,,17.743611264389127,11.574731431591237,,,0.0,2.4,False
,,,,0.0006434514924879321,-0.3494260154633306,,46.41299480671247,34.80556853375211,,,0.0,3.2,False
,,,,0.878207562316968,0.5281380953611494,,0.9755429381829045,-0.18295385255617413,,,0.04,0.2,False
,,,,0.830495306159773,0.48042583920395443,,0.9777110463271179,-0.580999282792422,,,0.04,0.6,True
,,,,0.8156767645535701,0.46560729759775155,,0.9891671965540761,-1.1149342700774572,,,0.04,1.0,True
,,,,0.8012378413408673,0.45116837438504875,,1.024577438103129,-2.295694002712813,,,0.04,1.6,True
,,,,0.7845594192324936,0.4344899522766751,,1.114615389329758,-5.054264443468131,,,0.04,2.4,True
,,,,0.7685390247210229,0.41846955776520434,,1.2667416463921524,-10.340684626568208,,,0.04,3.2,True
,,,,0.9550933511601016,0.6050238842042831,,0.9483073211622262,-0.21018946957685247,,,0.08,0.2,True
,,,,0.951805822016008,0.6017363550601895,,0.8559776651085723,-0.7027326640109676,,,0.08,0.6,True
,,,,0.9489526932023885,0.59888322624657,,0.775865681183802,-1.3282357854477316,,,0.08,1.0,True
,,,,0.9453838968285767,0.5953144298727582,,0.6735907215078473,-2.6466807193080952,,,0.08,1.6,True
,,,,0.9404071362237553,0.5903376692679367,,0.5656561008491304,-5.603223731948759,,,0.08,2.4,True
,,,,0.9350098569738438,0.5849403900180252,,0.48361912687548897,-11.123807146084872,,,0.08,3.2,True
,,,,0.9582415318786797,0.6081720649228611,,0.947191632711084,-0.21130515802799466,,,0.12,0.2,True
,,,,0.9579311556873684,0.6078616887315499,,0.8501035671328754,-0.7086067619866645,,,0.12,0.6,True
,,,,0.9575788240442201,0.6075093570884016,,0.7633993212450507,-1.3407021453864827,,,0.12,1.0,True
,,,,0.9570265699140211,0.6069571029582026,,0.6503589989345779,-2.6699124418813645,,,0.12,1.6,True
,,,,0.9561834772761693,0.6061140103203507,,0.5265604036742826,-5.642319429123607,,,0.12,2.4,True
,,,,0.9551163383370899,0.6050468713812713,,0.4280530076310403,-11.17937326532932,,,0.12,3.2,True
,,,,0.9583819245947551,0.6083124576389366,,0.9471418783473248,-0.21135491239175386,,,0.16,0.2,True
,,,,0.9582224719072734,0.6081530049514549,,0.8498250463809457,-0.7088852827385942,,,0.16,0.6,True
,,,,0.9580565413021022,0.6079870743462836,,0.7627148462577322,-1.3413866203738012,,,0.16,1.0,True
,,,,0.9577976323834527,0.6077281654276342,,0.6488506470017381,-2.671420793814204,,,0.16,1.6,True
,,,,0.9574370304474951,0.6073675634916765,,0.5235762729541821,-5.645303559843708,,,0.16,2.4,True
,,,,0.9570598582354825,0.6069903912796639,,0.42302842111377886,-11.184397851846581,,,0.16,3.2,True
,,,,0.9584041272602678,0.6083346603044493,,0.9471340098414969,-0.21136278089758176,,,0.2,0.2,True
,,,,0.9582856241346014,0.6082161571787829,,0.8497646195342445,-0.7089457095852953,,,0.2,0.6,True
,,,,0.9581637740269119,0.6080943070710934,,0.7625611503785564,-1.3415403162529769,,,0.2,1.0,True
,,,,0.9579751817222766,0.607905714766458,,0.6485037907580785,-2.671767650057864,,,0.2,1.6,True
,,,,0.9577143182276074,0.6076448512717889,,0.5229199912353245,-5.645959841562565,,,0.2,2.4,True
,,,,0.9574451067157097,0.6073756397598912,,0.42204598688293415,-11.185380286077427,,,0.2,3.2,True
,,,,0.9584212417591351,0.6083517748033166,,0.9471279445522676,-0.21136884618681107,,,0.26,0.2,True
,,,,0.9583376527325436,0.608268185776725,,0.8497148256317342,-0.7089955034878057,,,0.26,0.6,True
,,,,0.9582522556733759,0.6081827887175574,,0.762434301606275,-1.3416671650252585,,,0.26,1.0,True
,,,,0.9581209336390172,0.6080514666831986,,0.6482190069060056,-2.6720524339099367,,,0.26,1.6,True
,,,,0.9579403123410564,0.6078708453852378,,0.5223851662603197,-5.64649466653757,,,0.26,2.4,True
,,,,0.9577542347669533,0.6076847678111348,,0.4212582756964597,-11.186167997263901,,,0.26,3.2,True
